Age,Education,Degree,Skills,Technical Skills,Soft Skills,Work Experience,Interests,Career Interests,Personality/Strengths,Preferred Work Environment,Salary Expectation,Location Preference,Work-Life Balance Preference,Recommended_Career
22,Postgraduate,MBA,"Creativity, Communication","SEO, Digital Marketing, Excel, UI Design","Teamwork, Creativity, Adaptability",2 years,"Creative Design, User Experience",UI/UX Design,"Detail Oriented, Analytical",Remote,81361,Remote,Medium,UI/UX Designer
33,Undergraduate,BCA,"Creativity, Communication","Figma, UI Design, Adobe XD","Problem Solving, Communication",11 years,"Creative Design, User Experience",Business Analytics,"Analytical, Curious",Office,86939,Mumbai,Low,UI/UX Designer
20,Undergraduate,BCA,"Research, Creativity","Figma, UI Design, Adobe XD","Leadership, Time Management, Critical Thinking",0 years,"Design, User Experience",UI/UX Design,"Creative, Detail Oriented",Office,69599,Hyderabad,Low,UI/UX Designer
34,Undergraduate,M.Sc,"Research, Communication","Research Methods, SPSS, Python, Power BI","Creativity, Adaptability, Critical Thinking",6 years,"Research, Education",Research,"Detail Oriented, Analytical",Remote,39675,Ahmedabad,High,Academic Researcher
38,Diploma,MCA,"Creativity, Communication","Digital Marketing, Excel, Canva","Teamwork, Creativity, Adaptability",13 years,"Business, Analytics",Business Analytics,"Detail Oriented, Analytical",Hybrid,96170,Mumbai,Medium,Data Analyst
24,Postgraduate,MCA,"Leadership, Communication","Digital Marketing, Excel, Canva","Leadership, Time Management, Critical Thinking",2 years,"Marketing, Branding",Digital Marketing,"Curious, Analytical",Hybrid,69425,Hyderabad,Low,Marketing Manager
30,Postgraduate,B.Sc,"Creativity, Communication","Figma, UI Design, Adobe XD","Teamwork, Creativity, Adaptability",5 years,"Design, User Experience",Creative Design,"Innovative, Empathetic",Office,72673,Hyderabad,Low,UI/UX Designer
36,Postgraduate,B.Des,"Creativity, Programming","SQL, Tableau, Excel","Teamwork, Time Management, Problem Solving",1 year,"Business, Analytics",Data Analytics,"Analytical, Curious",Hybrid,67381,Pune,High,Data Analyst
38,Diploma,B.Sc,"Design, Communication","Figma, UI Design, Adobe XD","Communication, Creativity, Teamwork",11 years,"Design, User Experience",UI/UX Design,"Analytical, Innovative",Office,80918,Bangalore,Low,UI/UX Designer
26,Undergraduate,Diploma in Computer,"Research, Programming","Machine Learning, Python, SQL","Creativity, Adaptability, Critical Thinking",4 years,"Data Science, Technology",Data Science,"Curious, Analytical",Office,110217,Hyderabad,Low,Data Scientist
30,Diploma,B.Des,"Leadership, Communication","Python, SQL, TensorFlow","Creativity, Adaptability, Critical Thinking",6 years,"Analytics, Data Science",Machine Learning,"Curious, Analytical",Remote,97853,Bangalore,High,Data Scientist
44,Diploma,BA,"Communication, Analysis","SPSS, Excel, Statistics","Teamwork, Time Management, Problem Solving",3 years,"Branding, Social Media",Digital Marketing,"Creative, Persuasive",Remote,101521,Remote,Low,Marketing Manager
34,Undergraduate,B.Com,"Research, Programming","SQL, Excel, Power BI","Problem Solving, Communication",6 years,"Business, Analytics",Data Analytics,"Analytical, Curious",Remote,51444,Pune,High,Data Analyst
34,Postgraduate,MCA,"Creativity, Communication","Digital Marketing, Excel, Canva","Leadership, Time Management, Critical Thinking",1 year,"Branding, Social Media",Digital Marketing,"Leadership, Communication",Remote,62339,Hyderabad,Medium,Marketing Manager
29,Diploma,B.Com,"Research, Programming","Python, SQL, Excel, MS Office","Creativity, Adaptability, Critical Thinking",9 years,"Business Intelligence, Analytics",Data Analytics,"Analytical, Curious",Remote,99937,Ahmedabad,Medium,Data Analyst
35,Undergraduate,MA,"Creativity, Communication","SEO, Digital Marketing, Excel, UI Design","Teamwork, Time Management, Problem Solving",7 years,"Marketing, Branding",Marketing,"Creative, Persuasive",Office,66460,Bangalore,High,Marketing Manager
35,Undergraduate,BCA,"Programming, Research","Research Methods, SPSS, Python, Power BI","Communication, Creativity, Teamwork",1 year,"Education, Research",Academic Research,"Detail Oriented, Analytical",Remote,76548,Remote,High,Academic Researcher
34,Undergraduate,BBA,"Design, Communication","Figma, Photoshop, Canva","Teamwork, Creativity, Adaptability",10 years,"Design, User Experience",Academic Research,"Creative, Detail Oriented",Hybrid,77785,Ahmedabad,High,UI/UX Designer
31,Diploma,BBA,"Analysis, Programming","SQL, Tableau, Excel","Teamwork, Creativity, Adaptability",0 years,"Business Intelligence, Analytics",Data Analytics,"Detail Oriented, Analytical",Office,54032,Hyderabad,Medium,Data Analyst
25,Postgraduate,B.Sc,"Design, Communication","Python, SQL, Excel, MS Office","Teamwork, Creativity, Adaptability",3 years,"Business Intelligence, Analytics",Data Analytics,"Creative, Detail Oriented",Office,85977,Delhi,Medium,Data Analyst
27,Postgraduate,B.Sc,"Creativity, Programming","Python, Machine Learning, Statistics","Leadership, Time Management, Critical Thinking",4 years,"Analytics, Data Science",Machine Learning,"Analytical, Innovative",Office,98482,Delhi,High,Data Scientist
27,Diploma,BA,"Design, Communication","Adobe XD, UI Design, Figma","Leadership, Time Management, Critical Thinking",4 years,"Design, User Experience",UI/UX Design,"Innovative, Empathetic",Hybrid,65883,Hyderabad,High,UI/UX Designer
37,Postgraduate,Diploma in Management,"Creativity, Communication","Python, Machine Learning, Statistics","Creativity, Adaptability, Critical Thinking",10 years,"Analytics, Data Science",Digital Marketing,"Curious, Analytical",Office,83584,Pune,High,Data Scientist
40,Undergraduate,B.Des,"Programming, Analysis","Machine Learning, Python, SQL","Teamwork, Time Management, Problem Solving",8 years,"Data Science, Technology",Research,"Creative, Detail Oriented",Office,112734,Hyderabad,Medium,Data Scientist
41,Postgraduate,MCA,"Programming, Research","Digital Marketing, Excel, Canva","Teamwork, Creativity, Adaptability",6 years,"Research, Education",Research,"Detail Oriented, Analytical",Remote,61283,Mumbai,High,Academic Researcher
26,Postgraduate,B.Des,"Leadership, Programming","Figma, UI Design, Adobe XD","Teamwork, Creativity, Adaptability",4 years,"Creative Design, User Experience",Creative Design,"Creative, Detail Oriented",Hybrid,49386,Pune,Low,UI/UX Designer
37,Undergraduate,BA,"Programming, Analysis","Figma, Photoshop, Canva","Communication, Creativity, Teamwork",12 years,"Research, Education",Research,"Curious, Analytical",Hybrid,55991,Mumbai,Medium,Academic Researcher
33,Undergraduate,BCA,"Creativity, Programming","SPSS, Excel, Statistics","Problem Solving, Communication",6 years,"Research, Education",Research,"Analytical, Curious",Office,80313,Hyderabad,Low,Academic Researcher
21,Undergraduate,B.Sc,"Creativity, Communication","SEO, Digital Marketing, Excel, UI Design","Communication, Creativity, Teamwork",0 years,"Data Science, Technology",Digital Marketing,"Creative, Persuasive",Office,64409,Pune,Medium,Marketing Manager
45,Undergraduate,BBA,"Design, Communication","SQL, Excel, Power BI","Leadership, Time Management, Critical Thinking",12 years,"Business, Analytics",UI/UX Design,"Analytical, Curious",Remote,64943,Ahmedabad,Medium,UI/UX Designer
27,Undergraduate,Diploma in Computer,"Design, Communication","Figma, Photoshop, Canva","Problem Solving, Communication",4 years,"Design, User Experience",UI/UX Design,"Creative, Persuasive",Hybrid,68420,Hyderabad,Low,UI/UX Designer
44,Diploma,MBA,"Creativity, Communication","Digital Marketing, Excel, Canva","Teamwork, Creativity, Adaptability",12 years,"Marketing, Branding",Digital Marketing,"Leadership, Communication",Hybrid,99932,Ahmedabad,High,Marketing Manager
25,Undergraduate,M.Sc,"Research, Communication","SPSS, Excel, Statistics","Teamwork, Time Management, Problem Solving",3 years,"Research, Education",Academic Research,"Leadership, Communication",Remote,64236,Mumbai,High,Academic Researcher
32,Diploma,BA,"Research, Programming","SQL, Excel, Power BI","Leadership, Time Management, Critical Thinking",9 years,"Business, Analytics",Business Analytics,"Analytical, Curious",Remote,93436,Ahmedabad,Low,Data Analyst
39,Diploma,B.Sc,"Communication, Analysis","SEO, Digital Marketing, Excel, UI Design","Creativity, Adaptability, Critical Thinking",6 years,"Marketing, Branding",Research,"Leadership, Communication",Remote,68701,Delhi,Medium,Marketing Manager
33,Diploma,B.Sc,"Design, Communication","Adobe XD, UI Design, Figma","Teamwork, Creativity, Adaptability",4 years,"Creative Design, User Experience",UI/UX Design,"Innovative, Empathetic",Remote,89364,Delhi,Low,UI/UX Designer
22,Undergraduate,B.Com,"Research, Programming","SQL, Excel, Power BI","Creativity, Adaptability, Critical Thinking",0 years,"Business Intelligence, Analytics",Data Analytics,"Detail Oriented, Analytical",Remote,41357,Delhi,Medium,Data Analyst
36,Diploma,BBA,"Creativity, Communication","SEO, Digital Marketing, Excel, UI Design","Leadership, Time Management, Critical Thinking",1 year,"Marketing, Branding",Marketing,"Analytical, Innovative",Remote,67797,Mumbai,Low,Marketing Manager
40,Postgraduate,Diploma in Management,"Research, Creativity","Figma, Photoshop, Canva","Problem Solving, Communication",1 year,"Creative Design, User Experience",Creative Design,"Creative, Detail Oriented",Office,85469,Bangalore,High,UI/UX Designer
44,Postgraduate,Diploma in Computer,"Research, Analysis","SPSS, Excel, Statistics","Leadership, Time Management, Critical Thinking",8 years,"Business, Analytics",Academic Research,"Detail Oriented, Analytical",Hybrid,59206,Bangalore,Medium,Academic Researcher
26,Diploma,BBA,"Programming, Research","Research Methods, SPSS, Python, Power BI","Teamwork, Creativity, Adaptability",6 years,"Research, Education",Academic Research,"Innovative, Empathetic",Remote,70249,Ahmedabad,Medium,Academic Researcher
34,Diploma,Diploma in Management,"Creativity, Communication","SPSS, Excel, Statistics","Leadership, Time Management, Critical Thinking",11 years,"Education, Research",Research,"Analytical, Curious",Office,80875,Delhi,Medium,Academic Researcher
31,Undergraduate,MA,"Programming, Analysis","SPSS, Excel, Statistics","Problem Solving, Communication",8 years,"Analytics, Data Science",Data Science,"Curious, Analytical",Office,104991,Bangalore,Low,Data Scientist
40,Diploma,Diploma in Management,"Design, Communication","Figma, UI Design, Adobe XD","Leadership, Time Management, Critical Thinking",11 years,"Design, User Experience",Creative Design,"Creative, Detail Oriented",Office,90491,Remote,High,UI/UX Designer
36,Undergraduate,MBA,"Creativity, Communication","Machine Learning, Python, SQL","Leadership, Time Management, Critical Thinking",2 years,"Branding, Social Media",UI/UX Design,"Creative, Persuasive",Hybrid,54568,Hyderabad,Low,Marketing Manager
20,Undergraduate,B.Com,"Leadership, Programming","Machine Learning, Python, SQL","Creativity, Adaptability, Critical Thinking",0 years,"Analytics, Data Science",Data Science,"Curious, Analytical",Office,95690,Hyderabad,Low,Data Scientist
41,Postgraduate,M.Sc,"Research, Creativity","Python, SQL, TensorFlow","Creativity, Adaptability, Critical Thinking",15 years,"Creative Design, User Experience",Creative Design,"Analytical, Curious",Office,106430,Ahmedabad,High,UI/UX Designer
36,Undergraduate,MBA,"Leadership, Communication","SEO, Digital Marketing, Excel, UI Design","Creativity, Adaptability, Critical Thinking",8 years,"Marketing, Branding",Marketing,"Creative, Persuasive",Hybrid,75599,Remote,Low,Marketing Manager
27,Undergraduate,MBA,"Design, Communication","Figma, UI Design, Adobe XD","Leadership, Time Management, Critical Thinking",7 years,"Design, User Experience",Business Analytics,"Creative, Detail Oriented",Office,52965,Remote,Medium,UI/UX Designer
32,Diploma,MBA,"Research, Programming","Figma, UI Design, Adobe XD","Teamwork, Creativity, Adaptability",6 years,"Marketing, Branding",Academic Research,"Detail Oriented, Analytical",Hybrid,54498,Hyderabad,Low,Academic Researcher
45,Diploma,BCA,"Communication, Analysis","SEO, Digital Marketing, Excel, UI Design","Problem Solving, Communication",5 years,"Marketing, Branding",Digital Marketing,"Detail Oriented, Analytical",Office,84891,Ahmedabad,Low,Marketing Manager
21,Undergraduate,B.Com,"Design, Communication","Figma, UI Design, Adobe XD","Teamwork, Time Management, Problem Solving",0 years,"Research, Education",Creative Design,"Innovative, Empathetic",Remote,49599,Remote,High,UI/UX Designer
32,Undergraduate,M.Sc,"Design, Communication","Figma, UI Design, Adobe XD","Problem Solving, Communication",7 years,"Creative Design, User Experience",Creative Design,"Innovative, Empathetic",Office,61613,Remote,Medium,UI/UX Designer
21,Diploma,M.Sc,"Leadership, Programming","Python, Machine Learning, Statistics","Creativity, Adaptability, Critical Thinking",1 year,"Analytics, Data Science",UI/UX Design,"Analytical, Innovative",Remote,112039,Ahmedabad,Medium,Data Scientist
21,Postgraduate,Diploma in Management,"Design, Communication","Figma, Photoshop, Canva","Leadership, Time Management, Critical Thinking",0 years,"Design, User Experience",UI/UX Design,"Creative, Detail Oriented",Hybrid,81016,Remote,High,UI/UX Designer
43,Diploma,Diploma in Computer,"Communication, Analysis","SPSS, Excel, Statistics","Teamwork, Creativity, Adaptability",9 years,"Branding, Social Media",Creative Design,"Creative, Persuasive",Hybrid,92150,Hyderabad,High,Marketing Manager
34,Undergraduate,Diploma in Management,"Analysis, Programming","Python, SQL, TensorFlow","Creativity, Adaptability, Critical Thinking",2 years,"Branding, Social Media",Machine Learning,"Curious, Analytical",Remote,100695,Remote,Low,Data Scientist
35,Diploma,MCA,"Creativity, Communication","SEO, Digital Marketing, Excel, UI Design","Teamwork, Creativity, Adaptability",8 years,"Branding, Social Media",UI/UX Design,"Creative, Persuasive",Remote,105134,Ahmedabad,Medium,Marketing Manager
28,Undergraduate,BA,"Programming, Analysis","Digital Marketing, Excel, Canva","Creativity, Adaptability, Critical Thinking",8 years,"Marketing, Branding",Marketing,"Curious, Analytical",Remote,65651,Hyderabad,High,Marketing Manager
33,Diploma,BA,"Research, Communication","SEO, Digital Marketing, Excel, UI Design","Communication, Creativity, Teamwork",7 years,"Analytics, Data Science",Creative Design,"Analytical, Curious",Office,68631,Ahmedabad,Low,Academic Researcher
32,Postgraduate,M.Sc,"Design, Communication","Python, Machine Learning, Statistics","Communication, Creativity, Teamwork",0 years,"Creative Design, User Experience",UI/UX Design,"Detail Oriented, Analytical",Hybrid,80338,Pune,Low,UI/UX Designer
29,Diploma,B.Com,"Creativity, Communication","SEO, Google Analytics, Social Media","Communication, Creativity, Teamwork",1 year,"Branding, Social Media",Research,"Creative, Persuasive",Remote,62141,Mumbai,High,Marketing Manager
41,Undergraduate,B.Com,"Programming, Analysis","Machine Learning, Python, SQL","Teamwork, Creativity, Adaptability",8 years,"Analytics, Data Science",Machine Learning,"Curious, Analytical",Remote,91033,Delhi,Medium,Data Scientist
44,Undergraduate,Diploma in Computer,"Research, Programming","SQL, Excel, Power BI","Teamwork, Creativity, Adaptability",14 years,"Research, Education",Business Analytics,"Detail Oriented, Analytical",Office,92106,Bangalore,High,Data Analyst
22,Diploma,BCA,"Research, Programming","SQL, Tableau, Excel","Teamwork, Time Management, Problem Solving",0 years,"Business, Analytics",Data Analytics,"Detail Oriented, Analytical",Hybrid,80702,Ahmedabad,Low,Data Analyst
44,Undergraduate,Diploma in Management,"Research, Communication","Python, Machine Learning, Statistics","Teamwork, Creativity, Adaptability",2 years,"Education, Research",Creative Design,"Detail Oriented, Analytical",Remote,77187,Pune,Medium,Academic Researcher
40,Diploma,MCA,"Research, Programming","SPSS, Excel, Statistics","Teamwork, Time Management, Problem Solving",10 years,"Data Science, Technology",Data Science,"Curious, Analytical",Office,115176,Delhi,Medium,Data Scientist
45,Undergraduate,BA,"Research, Programming","Python, SQL, Excel, MS Office","Creativity, Adaptability, Critical Thinking",10 years,"Business, Analytics",Business Analytics,"Detail Oriented, Analytical",Hybrid,56642,Remote,High,Data Analyst
29,Diploma,B.Des,"Research, Analysis","Figma, UI Design, Adobe XD","Creativity, Adaptability, Critical Thinking",4 years,"Education, Research",Research,"Analytical, Curious",Remote,74224,Ahmedabad,High,Academic Researcher
27,Undergraduate,BA,"Creativity, Communication","Python, SPSS, Research Methods","Leadership, Time Management, Critical Thinking",0 years,"Business, Analytics",Data Analytics,"Analytical, Curious",Remote,88568,Mumbai,Medium,Data Analyst
24,Undergraduate,B.Des,"Research, Programming","SQL, Excel, Power BI","Teamwork, Creativity, Adaptability",0 years,"Business Intelligence, Analytics",Data Analytics,"Detail Oriented, Analytical",Remote,46807,Mumbai,High,Data Analyst
35,Diploma,MCA,"Research, Programming","SQL, Tableau, Excel","Teamwork, Creativity, Adaptability",6 years,"Business Intelligence, Analytics",Data Analytics,"Analytical, Curious",Remote,92266,Hyderabad,Low,Data Analyst
26,Postgraduate,Diploma in Computer,"Programming, Research","Python, SPSS, Research Methods","Creativity, Adaptability, Critical Thinking",6 years,"Education, Research",Academic Research,"Analytical, Curious",Office,44317,Pune,Medium,Academic Researcher
38,Postgraduate,B.Com,"Programming, Research","Python, SPSS, Research Methods","Problem Solving, Communication",6 years,"Education, Research",Research,"Analytical, Curious",Remote,51911,Mumbai,Medium,Academic Researcher
23,Diploma,B.Des,"Programming, Analysis","Python, SQL, Excel, MS Office","Leadership, Time Management, Critical Thinking",0 years,"Analytics, Data Science",Data Science,"Curious, Analytical",Hybrid,83026,Mumbai,High,Data Scientist
41,Diploma,B.Com,"Programming, Research","SPSS, Excel, Statistics","Creativity, Adaptability, Critical Thinking",6 years,"Research, Education",UI/UX Design,"Creative, Detail Oriented",Remote,41796,Hyderabad,Medium,Academic Researcher
43,Postgraduate,Diploma in Management,"Research, Programming","SQL, Excel, Power BI","Creativity, Adaptability, Critical Thinking",14 years,"Business Intelligence, Analytics",Data Analytics,"Detail Oriented, Analytical",Hybrid,70807,Mumbai,Low,Data Analyst
35,Undergraduate,BA,"Research, Programming","Machine Learning, Python, SQL","Problem Solving, Communication",12 years,"Analytics, Data Science",Machine Learning,"Analytical, Innovative",Hybrid,89549,Pune,Medium,Data Scientist
41,Postgraduate,Diploma in Management,"Programming, Analysis","Machine Learning, Python, SQL","Teamwork, Time Management, Problem Solving",9 years,"Analytics, Data Science",Data Science,"Curious, Analytical",Remote,120411,Ahmedabad,Low,Data Scientist
33,Postgraduate,BBA,"Creativity, Communication","SEO, Digital Marketing, Excel, UI Design","Problem Solving, Communication",9 years,"Marketing, Branding",Digital Marketing,"Curious, Analytical",Hybrid,99365,Mumbai,High,Marketing Manager
23,Undergraduate,Diploma in Computer,"Programming, Analysis","Figma, UI Design, Adobe XD","Teamwork, Time Management, Problem Solving",3 years,"Data Science, Technology",Data Science,"Curious, Analytical",Remote,104753,Mumbai,Low,Data Scientist
27,Postgraduate,BBA,"Research, Programming","Figma, UI Design, Adobe XD","Teamwork, Creativity, Adaptability",6 years,"Design, User Experience",Machine Learning,"Creative, Detail Oriented",Hybrid,44138,Remote,Low,UI/UX Designer
33,Undergraduate,Diploma in Management,"Communication, Analysis","SQL, Excel, Power BI","Problem Solving, Communication",1 year,"Creative Design, User Experience",Academic Research,"Leadership, Communication",Hybrid,101105,Pune,Low,Marketing Manager
35,Diploma,MCA,"Analysis, Programming","SQL, Tableau, Excel","Problem Solving, Communication",6 years,"Business, Analytics",Business Analytics,"Analytical, Curious",Remote,86498,Remote,High,Data Analyst
20,Undergraduate,M.Sc,"Communication, Analysis","SEO, Digital Marketing, Excel, UI Design","Leadership, Time Management, Critical Thinking",0 years,"Marketing, Branding",Marketing,"Creative, Detail Oriented",Remote,57725,Pune,Low,Marketing Manager
31,Undergraduate,B.Des,"Creativity, Communication","Research Methods, SPSS, Python, Power BI","Communication, Creativity, Teamwork",10 years,"Design, User Experience",Creative Design,"Curious, Analytical",Office,81178,Ahmedabad,High,UI/UX Designer
22,Postgraduate,MCA,"Creativity, Programming","SQL, Excel, Power BI","Problem Solving, Communication",0 years,"Analytics, Data Science",Data Analytics,"Analytical, Curious",Office,51281,Ahmedabad,Medium,Data Analyst
45,Undergraduate,MBA,"Creativity, Programming","Digital Marketing, Excel, Canva","Communication, Creativity, Teamwork",14 years,"Marketing, Branding",Digital Marketing,"Creative, Persuasive",Office,112790,Ahmedabad,Low,Marketing Manager
23,Undergraduate,MCA,"Communication, Analysis","SEO, Digital Marketing, Excel, UI Design","Teamwork, Time Management, Problem Solving",3 years,"Business, Analytics",Marketing,"Creative, Detail Oriented",Remote,60180,Bangalore,High,Marketing Manager
28,Postgraduate,B.Sc,"Creativity, Communication","Python, Machine Learning, Statistics","Teamwork, Time Management, Problem Solving",5 years,"Analytics, Data Science",Data Science,"Curious, Analytical",Hybrid,114230,Remote,Medium,Data Scientist
22,Postgraduate,B.Com,"Design, Communication","SEO, Google Analytics, Social Media","Communication, Creativity, Teamwork",2 years,"Business Intelligence, Analytics",Digital Marketing,"Leadership, Communication",Hybrid,95003,Ahmedabad,High,Marketing Manager
22,Postgraduate,B.Sc,"Creativity, Communication","SQL, Excel, Power BI","Creativity, Adaptability, Critical Thinking",0 years,"Business Intelligence, Analytics",Digital Marketing,"Leadership, Communication",Hybrid,83031,Hyderabad,High,Marketing Manager
44,Undergraduate,B.Sc,"Leadership, Programming","Machine Learning, Python, SQL","Creativity, Adaptability, Critical Thinking",9 years,"Analytics, Data Science",Data Science,"Analytical, Innovative",Office,99956,Pune,Low,Data Scientist
21,Postgraduate,B.Sc,"Research, Analysis","Research Methods, SPSS, Python, Power BI","Leadership, Time Management, Critical Thinking",1 year,"Research, Education",Research,"Detail Oriented, Analytical",Hybrid,60105,Pune,Low,Academic Researcher
45,Postgraduate,Diploma in Management,"Creativity, Communication","Adobe XD, UI Design, Figma","Communication, Creativity, Teamwork",8 years,"Design, User Experience",Creative Design,"Leadership, Communication",Hybrid,86219,Ahmedabad,Low,UI/UX Designer
37,Undergraduate,Diploma in Computer,"Leadership, Programming","Digital Marketing, Excel, Canva","Creativity, Adaptability, Critical Thinking",14 years,"Branding, Social Media",Marketing,"Leadership, Communication",Office,109005,Remote,High,Marketing Manager
28,Postgraduate,M.Sc,"Creativity, Programming","SQL, Excel, Power BI","Communication, Creativity, Teamwork",4 years,"Business Intelligence, Analytics",Data Science,"Analytical, Curious",Hybrid,87937,Bangalore,Low,Data Analyst
24,Undergraduate,BBA,"Analysis, Programming","SQL, Tableau, Excel","Leadership, Time Management, Critical Thinking",3 years,"Business Intelligence, Analytics",Business Analytics,"Analytical, Curious",Office,92145,Ahmedabad,Medium,Data Analyst
33,Diploma,B.Com,"Research, Creativity","SEO, Digital Marketing, Excel, UI Design","Teamwork, Creativity, Adaptability",3 years,"Marketing, Branding",Digital Marketing,"Analytical, Curious",Hybrid,98900,Delhi,Low,Marketing Manager
30,Diploma,MCA,"Research, Programming","Python, SQL, TensorFlow","Teamwork, Time Management, Problem Solving",8 years,"Data Science, Technology",Machine Learning,"Analytical, Innovative",Office,92522,Pune,Low,Data Scientist
31,Undergraduate,BA,"Creativity, Programming","Python, Machine Learning, Statistics","Problem Solving, Communication",3 years,"Business, Analytics",Data Analytics,"Detail Oriented, Analytical",Office,56543,Remote,Medium,Data Analyst
26,Undergraduate,BCA,"Design, Communication","Python, Machine Learning, Statistics","Problem Solving, Communication",6 years,"Business, Analytics",Machine Learning,"Innovative, Empathetic",Office,91929,Hyderabad,High,UI/UX Designer
37,Undergraduate,B.Com,"Creativity, Programming","Python, SQL, Excel, MS Office","Leadership, Time Management, Critical Thinking",1 year,"Business, Analytics",Data Analytics,"Detail Oriented, Analytical",Remote,47275,Mumbai,Low,Data Analyst
44,Undergraduate,B.Com,"Creativity, Communication","SQL, Excel, Power BI","Communication, Creativity, Teamwork",15 years,"Branding, Social Media",Digital Marketing,"Detail Oriented, Analytical",Office,101153,Remote,Medium,Marketing Manager
37,Postgraduate,Diploma in Computer,"Analysis, Programming","SQL, Excel, Power BI","Communication, Creativity, Teamwork",4 years,"Business Intelligence, Analytics",UI/UX Design,"Analytical, Curious",Office,68915,Mumbai,Low,Data Analyst
45,Undergraduate,BBA,"Communication, Analysis","Digital Marketing, Excel, Canva","Leadership, Time Management, Critical Thinking",11 years,"Marketing, Branding",Marketing,"Curious, Analytical",Office,69966,Hyderabad,Medium,Marketing Manager
24,Diploma,BCA,"Communication, Analysis","Research Methods, SPSS, Python, Power BI","Communication, Creativity, Teamwork",3 years,"Marketing, Branding",Marketing,"Creative, Persuasive",Hybrid,102577,Remote,High,Marketing Manager
24,Postgraduate,MA,"Programming, Analysis","SEO, Google Analytics, Social Media","Communication, Creativity, Teamwork",4 years,"Analytics, Data Science",Data Science,"Analytical, Innovative",Remote,71121,Mumbai,Low,Data Scientist
26,Undergraduate,B.Des,"Research, Creativity","SQL, Excel, Power BI","Problem Solving, Communication",6 years,"Business, Analytics",Machine Learning,"Innovative, Empathetic",Remote,63842,Remote,Low,Data Analyst
30,Postgraduate,BBA,"Research, Programming","Machine Learning, Python, SQL","Teamwork, Time Management, Problem Solving",5 years,"Analytics, Data Science",Machine Learning,"Analytical, Innovative",Hybrid,76573,Bangalore,High,Data Scientist
27,Diploma,B.Com,"Leadership, Programming","SPSS, Excel, Statistics","Teamwork, Creativity, Adaptability",4 years,"Analytics, Data Science",UI/UX Design,"Analytical, Curious",Remote,93154,Mumbai,Medium,Data Analyst
21,Postgraduate,B.Sc,"Creativity, Programming","Python, SQL, Excel, MS Office","Communication, Creativity, Teamwork",0 years,"Education, Research",Business Analytics,"Detail Oriented, Analytical",Office,50852,Hyderabad,Medium,Data Analyst
44,Undergraduate,MCA,"Programming, Research","SEO, Google Analytics, Social Media","Creativity, Adaptability, Critical Thinking",13 years,"Research, Education",Academic Research,"Detail Oriented, Analytical",Office,92336,Hyderabad,High,Academic Researcher
24,Undergraduate,B.Sc,"Communication, Analysis","Figma, UI Design, Adobe XD","Teamwork, Creativity, Adaptability",2 years,"Data Science, Technology",Creative Design,"Innovative, Empathetic",Hybrid,68360,Delhi,Low,UI/UX Designer
38,Postgraduate,Diploma in Management,"Programming, Research","Python, Machine Learning, Statistics","Teamwork, Creativity, Adaptability",1 year,"Business Intelligence, Analytics",Research,"Detail Oriented, Analytical",Office,80849,Ahmedabad,Medium,Academic Researcher
36,Diploma,M.Sc,"Design, Communication","Figma, UI Design, Adobe XD","Communication, Creativity, Teamwork",7 years,"Research, Education",Creative Design,"Analytical, Curious",Remote,75420,Mumbai,High,UI/UX Designer
20,Diploma,M.Sc,"Programming, Analysis","Machine Learning, Python, SQL","Communication, Creativity, Teamwork",0 years,"Data Science, Technology",Machine Learning,"Analytical, Innovative",Remote,92915,Remote,High,Data Scientist
41,Postgraduate,BA,"Creativity, Programming","Python, SQL, Excel, MS Office","Teamwork, Time Management, Problem Solving",4 years,"Business Intelligence, Analytics",Business Analytics,"Leadership, Communication",Hybrid,48630,Mumbai,Low,Data Analyst
35,Undergraduate,M.Sc,"Creativity, Communication","Figma, Photoshop, Canva","Teamwork, Creativity, Adaptability",7 years,"Design, User Experience",Creative Design,"Creative, Detail Oriented",Office,47282,Bangalore,Low,UI/UX Designer
36,Postgraduate,MCA,"Programming, Research","Python, SPSS, Research Methods","Teamwork, Creativity, Adaptability",1 year,"Education, Research",Academic Research,"Detail Oriented, Analytical",Office,74310,Hyderabad,High,Academic Researcher
21,Undergraduate,MA,"Design, Communication","Figma, Photoshop, Canva","Leadership, Time Management, Critical Thinking",1 year,"Creative Design, User Experience",Creative Design,"Innovative, Empathetic",Hybrid,47401,Mumbai,Low,UI/UX Designer
20,Undergraduate,Diploma in Computer,"Creativity, Programming","Python, Machine Learning, Statistics","Teamwork, Time Management, Problem Solving",0 years,"Data Science, Technology",Machine Learning,"Analytical, Curious",Office,77797,Pune,Medium,Data Scientist
26,Diploma,B.Com,"Creativity, Communication","Python, SQL, TensorFlow","Teamwork, Creativity, Adaptability",3 years,"Design, User Experience",UI/UX Design,"Creative, Detail Oriented",Remote,79153,Mumbai,Low,UI/UX Designer
20,Diploma,BCA,"Leadership, Programming","Figma, UI Design, Adobe XD","Teamwork, Creativity, Adaptability",0 years,"Creative Design, User Experience",Creative Design,"Creative, Detail Oriented",Remote,80769,Hyderabad,Low,UI/UX Designer
29,Undergraduate,Diploma in Computer,"Design, Communication","SEO, Digital Marketing, Excel, UI Design","Creativity, Adaptability, Critical Thinking",4 years,"Branding, Social Media",Marketing,"Creative, Persuasive",Hybrid,68475,Remote,Low,Marketing Manager
